Trimestre;Prix_moyen;Prix_moyen_NY
T1 2021;11279.047619047618;230.37324050432565
T2 2021;11389.047619047618;237.32129476449268
T3 2021;11426.666666666666;244.3727424267857
T4 2021;11201.42857142857;251.61275793612967
T1 2022;11182.380952380952;261.8290363779536
T2 2022;11319.047619047618;272.33106376806666
T3 2022;11345.238095238095;275.1887131403593
T4 2022;11271.42857142857;273.9698860965996
T1 2023;11139.047619047618;275.034607636144
T2 2023;10923.333333333334;281.38580400151864
T3 2023;10877.142857142857;289.7529172482627
T4 2023;10635.238095238095;295.85715406515436
T1 2024;10424.761904761905;300.385081741017
T2 2024;10373.333333333334;308.315799121564
T3 2024;10326.190476190475;313.8450245704184
T4 2024;10190.47619047619;318.175192571635
T1 2025;;320.75702736351
